seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy
0,[0. 0. 1.],[0. 1. 1.],1.0,[1. 1.],[1. 0.],1.0,1.0
1,[0. 0. 1.],[0. 1. 1.],1.0,[1. 1.],[1. 0.],1.0,1.0
