,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
31,0.6464636325836182,0.037881517822261554,0.050291220347086586,0.010528847280444335,270,4,2,auto,13,True,"{'n_estimators': 270, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 13, 'bootstrap': True}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
32,2.0990569591522217,0.0240018938253285,0.1871150334676107,0.03869958487192145,947,2,2,sqrt,20,True,"{'n_estimators': 947, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.5,1.0,1.0,0.8333333333333334,0.23570226039551584,43,1.0,1.0,1.0,1.0,0.0
33,2.268502394358317,0.02456841271546263,0.19315902392069498,0.03321455158435878,1000,4,4,sqrt,7,True,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': True}",0.5,0.5,0.5,0.5,0.0,46,0.5,0.5,0.5,0.5,0.0
34,1.5559803644816081,0.11709242141546027,0.18073105812072754,0.01182485682652785,739,4,1,auto,11,False,"{'n_estimators': 739, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 11, 'bootstrap': False}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
35,0.8116781711578369,0.08726538512632735,0.1013944943745931,0.03922532301118696,374,5,1,sqrt,5,True,"{'n_estimators': 374, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': True}",0.5,0.5,0.5,0.5,0.0,46,0.5,0.5,0.5,0.5,0.0
36,1.1735302607218425,0.17943981090136718,0.12799199422200522,0.026467022356961762,426,2,2,auto,7,True,"{'n_estimators': 426, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
37,2.9300851027170816,0.0738078065240625,0.27557794253031415,0.10470157431160018,843,3,4,auto,15,True,"{'n_estimators': 843, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 15, 'bootstrap': True}",0.5,0.5,0.5,0.5,0.0,46,0.5,0.5,0.5,0.5,0.0
38,1.9599684079488118,0.09625763269261076,0.17102607091267905,0.041685726959384065,531,4,1,auto,17,True,"{'n_estimators': 531, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 17, 'bootstrap': True}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
39,2.7998557885487876,0.25075898468545915,0.24077105522155762,0.06627198443500068,947,3,4,auto,15,False,"{'n_estimators': 947, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 15, 'bootstrap': False}",0.5,0.5,0.5,0.5,0.0,46,0.5,0.5,0.5,0.5,0.0
40,1.7863540649414062,0.01222623084924942,0.12124721209208171,0.02064938905317014,687,3,2,auto,1,False,"{'n_estimators': 687, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 1, 'bootstrap': False}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
