"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","CDC23",822.451449005344,-0.665695575238417,0.105031612559917,-6.33804965013421,2.3269185088216e-10,1.36437754218628e-09
"2","COX6A1",3213.52674582526,-0.540243132169874,0.115064774366022,-4.6951218141823,2.66447894462092e-06,8.98152220070099e-06
"3","TSFM",413.857010248118,-0.354195094030256,0.103925295896496,-3.40817017622943,0.000654000943186003,0.00147140044291739
"4","SMPDL3A",220.949382181073,-0.405841597221648,0.137133596123015,-2.95946149372171,0.00308177212638306,0.00609739191152438
"5","IFFO1",14.2698044724137,1.24958543939435,0.420079433429132,2.97464084159967,0.00293331765266375,0.00582357521631186
"6","DRAP1",847.108367783764,-0.200544188308379,0.140869239514674,-1.42361944310411,0.154556664398524,0.206384561272588
"7","RCL1",384.045461921254,0.0540329139305936,0.0887184466042922,0.609038097472499,0.542499186920019,0.609748018168512
"8","C2orf50",332.511528806222,0.950566157995035,0.104264993128949,9.11682943113447,7.73541975761957e-20,1.24792931229111e-18
"9","LOC728613",91.7135414441514,0.787646121053079,0.179376055573263,4.39103267454435,1.12813584446201e-05,3.45142786579488e-05
"10","MAMDC4",89.1555576185919,2.44465407108037,0.25224430599074,9.69161250827252,3.27319431297727e-22,6.53090696933321e-21
"11","PTPN3",3627.62633869428,-0.100874698422802,0.061325100656463,-1.64491696455407,0.0999869359521257,0.140545017014396
"12","LRFN4",303.808881053707,0.49072274184749,0.119168304056987,4.11789649714928,3.82346336260991e-05,0.000107445539685636
"13","PLEKHJ1",527.858917902811,0.247559116627363,0.0848160792697992,2.91877576467404,0.00351408903178192,0.00687194356471839
"14","GPD2",2911.05337941279,-0.557501523326254,0.0711133932802923,-7.83961357502475,4.51935032482175e-15,4.58943989828039e-14
"15","ARMCX5-GPRASP2",14.0713514776651,-0.967542682422371,0.454932205098928,-2.12678432429723,0.0334380073514898,0.0529816494452435
"16","SFR1",93.7334293214689,-0.266729157280016,0.164814435704983,-1.61836040720037,0.105584949371814,0.147525326094382
"17","ST6GALNAC1",5562.06505275159,0.251695737993738,0.0895510631209653,2.81063930702585,0.00494431796873719,0.00939829572121317
"18","RPL8",16424.3402154568,-0.59570492655186,0.0965965720465426,-6.16693650645113,6.96256981767589e-10,3.82809072308464e-09
"19","SYDE1",20.1007339097908,1.87054209873094,0.358806939518681,5.21322720580647,1.85583362585282e-07,7.4475231280411e-07
"20","RGS19",209.417060478567,0.154844905001177,0.140069823728755,1.10548368577257,0.268950059668893,0.334678503178997
"21","NT5C3B",489.307738581465,-0.170312316805243,0.089752360835694,-1.89758035576386,0.0577513841999651,0.0861212160714855
"22","PDCD2L",131.217157190628,-0.505342574991425,0.142075721889438,-3.55685382605113,0.000375322855983812,0.000882276973512304
"23","TMED10",5704.85743703183,-0.328966124764238,0.0776718380493127,-4.23533333349705,2.2821291798599e-05,6.65820390357916e-05
