"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","CDC23",822.451449005344,-0.157879902232956,0.10383269470922,-1.52052205401288,0.128379820232242,0.281779220389815
"2","COX6A1",3213.52674582526,0.321513555188286,0.114629404854459,2.80480872771258,0.00503464465634724,0.0297606768062617
"3","TSFM",413.857010248118,0.0219815977082695,0.102171030419635,0.215145111270651,0.829654183607074,0.906976710113555
"4","SMPDL3A",220.949382181073,-0.453708163642104,0.137211656114737,-3.30662989201669,0.000944255608826184,0.00858969997590804
"5","IFFO1",14.2698044724137,-0.0151948056309673,0.449399858863483,-0.0338113271094354,0.973027603383908,0.98585671149962
"6","DRAP1",847.108367783764,0.842997906505043,0.139301104403166,6.05162399908356,1.43392846205172e-09,5.84883019902561e-08
"7","RCL1",384.045461921254,-0.0472553912418791,0.0890287241821424,-0.530788143669228,0.595565597020689,0.747268626513461
"8","C2orf50",332.511528806222,0.219159629613646,0.107254543232456,2.04335987090687,0.0410168268578494,0.128607539397166
"9","LOC728613",91.7135414441514,-0.0412801406816626,0.186535886505607,-0.221298654403542,0.824859897642465,0.903757709302813
"10","MAMDC4",89.1555576185919,-0.255333531052848,0.270600028226699,-0.943582795338581,0.34538288745505,0.535435865092765
"11","PTPN3",3627.62633869428,-0.101842851361304,0.0613012426306689,-1.66135052065571,0.0966430689956927,0.231840021845652
"12","LRFN4",303.808881053707,-0.270716571053895,0.122388939770973,-2.21193656518708,0.0269710483119094,0.0956258758527525
"13","PLEKHJ1",527.858917902811,0.165929783110558,0.084970238194715,1.95279884623035,0.0508434353194852,0.148692460441278
"14","GPD2",2911.05337941279,0.0782460679150512,0.0705102302114475,1.10971227409704,0.267123032073209,0.45271283698139
"15","ARMCX5-GPRASP2",14.0713514776651,-0.428851211667731,0.43695081411142,-0.98146335426755,0.326364297171687,0.51666752538359
"16","SFR1",93.7334293214689,-0.0103881603809672,0.161330722872025,-0.0643904657218173,0.94865932152554,0.971928587440979
"17","ST6GALNAC1",5562.06505275159,0.400915191734176,0.0894948041516508,4.47975941770672,7.47272186046927e-06,0.00015676936403811
"18","RPL8",16424.3402154568,0.168942014632691,0.0965063171575263,1.75057985434186,0.080018307926169,0.203804183289706
"19","SYDE1",20.1007339097908,0.303604732123069,0.385618625572718,0.787318640722184,0.431095360244956,0.617900388051019
"20","RGS19",209.417060478567,0.150400582006126,0.139903135817504,1.07503367331463,0.282359652637122,0.46991359722212
"21","NT5C3B",489.307738581465,0.154616518885192,0.0883898374251702,1.74925674024561,0.080246650079169,0.204049480064198
"22","PDCD2L",131.217157190628,0.135560485107532,0.135212014653444,1.00257721516081,0.316064893800474,0.506176926640276
"23","TMED10",5704.85743703183,-0.000636609558958956,0.0775249055516509,-0.0082116779688924,0.993448102564633,0.996879810637075
"24","CDRT1",147.156906954519,-0.0285591760703244,0.162473117299747,-0.17577785509978,0.860468467806692,0.923019202447007
"25","ANO9",586.568038944593,0.0929695020283402,0.127151282205899,0.731172351669978,0.464673885710834,0.646824299065303
"26","INA",20.8174502782439,-0.281472603048743,0.338353008171265,-0.831890351943521,0.40547083818337,0.595532617559926
"27","WNT7A",76.5590758482029,0.374446261408405,0.233187382298886,1.60577411057543,0.108323550982674,0.250569145288212
"28","TMEM200C",69.0246281397486,-0.00661494774815015,0.228965423052675,-0.0288905969292505,0.976951845056517,0.988020953703848
"29","TP53",1685.72293402085,-0.135187502373099,0.0643567355987179,-2.10059601555974,0.0356764441113286,0.116184420778382
"30","SVOPL",140.241263534539,0.0332406183491765,0.144036809637419,0.230778635217292,0.817486779872472,0.899319385577643
"31","PARP10",2805.15226511414,2.13093203503057,0.133437022051733,15.9695712798837,2.08212074806675e-57,4.74757663686237e-55
"32","FGFR1OP2",430.617798673972,0.0908051406463387,0.108715688548219,0.835253327821804,0.403575089664165,0.593625837789643
"33","ADARB1",152.474276342144,-0.345844992382833,0.140071152773507,-2.46906651037604,0.0135466037481974,0.0594196504363538
"34","CSNK2A1",2326.03285811802,0.0222719354309665,0.062213698298084,0.357990861180686,0.720350152671227,0.837002671818004
"35","GSN",32966.064946173,0.159830531885832,0.0759181935203343,2.10529946083376,0.0352652490254517,0.115439950269477
"36","MRPL39",448.280774515295,-0.0715241695027338,0.162784598142671,-0.43937921841996,0.660386782031447,0.796456609726856
"37","TGDS",182.42837507005,-0.183441409146117,0.197181882832977,-0.930315739511937,0.352207630857535,0.542463973569831
"38","ZNF689",280.181930914529,0.0847411665644289,0.100097268405926,0.84658820279467,0.397224691800921,0.587265969202701
"39","CREG1",1031.00427112759,-0.0570890961192968,0.0930987373012781,-0.613210208582636,0.53973735555738,0.704439042736943
"40","ANKRD35",551.438988864141,-0.0728048395568395,0.114859713911751,-0.633858792411558,0.526172980295404,0.694226900296791
"41","MSH6",1555.16025701965,-0.325657089893643,0.0861502873595659,-3.78010451125307,0.000156762542886601,0.00211484986324901
"42","MIR663A",28420.0755285542,0.28824597960708,0.145107846208291,1.9864258697171,0.0469860564936581,0.140907516121236
"43","PDE6D",461.868802025699,0.196360158563831,0.105656324073528,1.8584799375301,0.0631008898204272,0.172227291309325
"44","DBT",1159.17672258928,-0.188469740291137,0.105347431113066,-1.78903024307123,0.0736099450959223,0.191015060884176
"45","TPM4",7676.87642379317,0.0648311235809549,0.0611882251776635,1.05953593837236,0.289355771109999,0.477323927628743
