"","x"
"321","DPH5"
"322","CCDC3"
"323","UBALD2"
"324","ZNF732"
"325","RTN4IP1"
"326","SLC25A44"
"327","MGC12916"
"328","FHL2"
"329","SNX25"
"330","TMEM200A"
"331","CEP19"
"332","CCRL2"
"333","ZNRF3"
"334","IPO11"
"335","CNOT6"
"336","PLA2G4E"
"337","PYROXD1"
"338","PEX11G"
"339","VASH2"
"340","ERICH2"
"341","DEPDC7"
"342","TENM3"
"343","ZNF782"
"344","COPS5"
"345","RAB12"
"346","CPXM2"
"347","ANAPC5"
"348","SLC43A1"
"349","TBC1D16"
"350","ARFGAP2"
"351","CD200R1"
"352","PCDHB6"
"353","TMEM62"
"354","CCNT2-AS1"
"355","TRIP6"
"356","TAS2R31"
"357","SPICE1"
"358","RHOG"
"359","ADIRF"
"360","LCLAT1"
"361","ELP2"
"362","FTO-IT1"
"363","TAPBP"
"364","TOR1AIP1"
"365","NTNG2"
"366","IRS1"
"367","ZFAND2A"
"368","MTRF1L"
"369","TMEM143"
"370","MPZL2"
"371","RNF165"
"372","NFASC"
"373","TPTEP1"
"374","LOXL1-AS1"
"375","SERINC5"
"376","B2M"
"377","BCLAF1"
"378","PRSS54"
"379","UCA1"
"380","SZT2"
"381","ISCA2"
"382","ACVR1B"
"383","IFT122"
"384","MIA"
"385","DENND5A"
"386","KIT"
"387","HKDC1"
"388","ECI1"
"389","PITX1"
"390","PPP5C"
"391","NARS2"
"392","RIMS1"
"393","TP73-AS1"
"394","USP31"
"395","SLFN13"
"396","SRR"
"397","SBF1"
"398","BAP1"
"399","DNAJC14"
"400","GDPD5"
"401","MBNL1"
"402","BTBD6"
"403","SMG7-AS1"
"404","POLH"
"405","WDR37"
"406","ELL3"
"407","ZFHX4"
"408","AMIGO1"
"409","U2AF2"
"410","MYLK3"
"411","LAMA5"
"412","TRAPPC2"
"413","HERC2P3"
"414","REPIN1"
"415","ZNF81"
"416","PCDHGA12"
"417","ZNF326"
"418","MBD5"
"419","MIR200C"
"420","EPN1"
"421","TCTEX1D2"
"422","NUDT13"
"423","ANGPTL2"
"424","CCNG1"
"425","PI4K2A"
"426","BTBD16"
"427","NFE2"
"428","WASH7P"
"429","NPDC1"
"430","NAGA"
"431","RFX3"
"432","RPS19"
"433","UBN1"
"434","RBBP4"
"435","CDYL2"
"436","KREMEN2"
"437","TMEM185A"
"438","SEH1L"
"439","S100A13"
